Project,User Query
Kafka,what are the bugs caused by commit 0636928d961a6ceaab46d908f9372d913c3e5faf
Kafka,which commit fix KAFKA-3025
Kafka,what is the percentage of fixing commit that lead to bugs on June 2018
Kafka,Gould you tell me the detail commits of the date between 27/5/2018 - 31/5/2018?
Kafka,"Determine the buggy commits that happened on Dec 19, 2017"
Kafka,Determine that commit(s) that fixed the bug ticket KAFKA-7354
Kafka,latest commit
Kafka,commit(s) that fixed the bug ticket KAFKA-7354
Kafka,what the details of the commits between May 27th 2018 and May 31st 2018
Kafka,what are the details of the commit between 27/5/2018 - 31/5/2018
Kafka,commits that happened between 27/5/2018 - 31/5/2018
Kafka,what changes on NetworkClientUtils
Kafka,what changes on NetworkclientUtils.java
Kafka,all the changes that happened on NetworkClientUtils
Kafka,what bugs were introduced because of commit 0636928d961a6ceaab46d908f9372d913c3e5faf
Kafka,Determine the bug(s) that were introduced because of commit hash 0636928d961a6ceaab46d908f9372d913c3e5faf
Kafka,bug(s) that were introduced because of commit hash 0636928d961a6ceaab46d908f9372d913c3e5faf
Kafka,who fixed the most bugs in KafkaAdminClient.java
Kafka,What is the ratio of fixes that create bug on June 2018?
Kafka,"Determine the buggy commits that happened on Dec 19, 2017"
Kafka,"what are the buggy commits that happened on Dec 19, 2017"
Kafka,how many commits in last month
Kafka,what happen between may 27th and may 31th last year
Kafka,how many commits happened in last month?
Kafka,developers that fixed the most bugs in KafkaAdminClient.java
Kafka,"buggy commits that happened on Dec 19, 2017"
Kafka,what happen between may 27th and may 31th in 2018
Kafka,Determine the percentage of the fixing commits that introduced bugs on June 2018
Kafka,what is the latest commit
Kafka,percentage of the fixing commits that introduced bugs on June 2018
Kafka,which developer had th emost unfixed bugs?
Kafka,what percentage of fixing commits introduced bugs on june 2018?
Kafka,Determine the developers that had the most unfixed bugs?
Kafka,developers that had the most unfixed bugs
Kafka,how many commits happened in the last month
Kafka,Determine the number of commits that happened in the last month
Kafka,How many commits happened in the last month?
Kafka,what is the latest commit
Kafka,which files introduced the most bugs
Kafka,Determine the files that introduce the most bugs
Kafka,Determine the developers that fixed the most bugs in KafkaAdminClient.java
Kafka,which developers fixed the most bugs in kafkaAdminClient.java?
Kafka,show me the changes for file NetworkClientUtils file
Kafka,Can you return all the changes of file NetworkClientUtils?
Kafka,What are the most buggy files
Kafka,files that introduce the most bugs
Kafka,Determine all the changes that happened on NetworkClientUtils file
